Ewe/V	<I>/mA	time/s
1.3887148E-001	0.000000000000000E+000	1.999999949475750E-004
1.3902420E-001	0.000000000000000E+000	1.000199974732823E+000
1.3917693E-001	0.000000000000000E+000	2.000199949470698E+000
1.3929148E-001	0.000000000000000E+000	3.000199924208573E+000
1.3921511E-001	0.000000000000000E+000	4.000199898946448E+000
1.3934875E-001	0.000000000000000E+000	5.000199873684323E+000
1.3957784E-001	0.000000000000000E+000	6.000199848422199E+000
1.3953966E-001	0.000000000000000E+000	7.000199823160074E+000
1.3961601E-001	0.000000000000000E+000	8.000199797897949E+000
1.3974965E-001	0.000000000000000E+000	9.000199772635824E+000
1.4601256E-001	7.166261614588490E-005	9.999999747378752E+000
1.1554486E+000	3.603051843588037E-001	1.499999962106813E+001
1.5349516E+000	3.603037100867538E-001	1.999999949475750E+001
1.7547613E+000	3.603025467757197E-001	2.499999936844688E+001
1.8782778E+000	3.603008868948012E-001	2.999999924213625E+001
2.0188804E+000	3.602992122092807E-001	3.499999911582563E+001
2.1669858E+000	3.602978056349959E-001	3.999999898951501E+001
2.2651491E+000	3.602974214460958E-001	4.499999886320438E+001
2.3154528E+000	3.602989077439791E-001	4.999999873689376E+001
2.3526607E+000	3.602975973978195E-001	5.499999861058313E+001
2.3858402E+000	3.602952106298949E-001	5.999999848427251E+001
2.4116316E+000	3.602969897832869E-001	6.499999835796189E+001
2.4336622E+000	3.602952728380722E-001	6.999999823165126E+001
2.4530010E+000	3.602959183063235E-001	7.499999810534064E+001
2.4708889E+000	3.602954270209870E-001	7.999999797903001E+001
2.4874406E+000	3.602956291665685E-001	8.499999785271939E+001
2.5028086E+000	3.602959318484992E-001	8.999999772640876E+001
2.5175273E+000	3.602952191116361E-001	9.499999760009814E+001
2.5310817E+000	3.602951012780188E-001	9.999999747378752E+001
2.5441589E+000	3.602966294922736E-001	1.049999973474769E+002
2.5563004E+000	3.602954828741168E-001	1.099999972211663E+002
2.5679266E+000	3.602947395660307E-001	1.149999970948556E+002
2.5786366E+000	3.602964469578128E-001	1.199999969685450E+002
2.5891364E+000	3.602947128500362E-001	1.249999968422344E+002
2.5991018E+000	3.602929155053062E-001	1.299999967159238E+002
2.6085899E+000	3.602922254062877E-001	1.349999965896131E+002
2.6174479E+000	3.602906737376047E-001	1.399999964633025E+002
2.6260386E+000	3.602886315393719E-001	1.449999963369919E+002
2.6345148E+000	3.602895899177111E-001	1.499999962106813E+002
2.6423802E+000	3.602906592953988E-001	1.549999960843707E+002
2.6499209E+000	3.602895695555718E-001	1.599999959580600E+002
2.6574237E+000	3.602897073495931E-001	1.649999958317494E+002
2.6645253E+000	3.602911508358433E-001	1.699999957054388E+002
2.6711690E+000	3.602911449206782E-001	1.749999955791282E+002
2.6779079E+000	3.602901193917445E-001	1.799999954528175E+002
2.6842651E+000	3.602897800720299E-001	1.849999953265069E+002
2.6903169E+000	3.602898090446565E-001	1.899999952001963E+002
